2020-07-06 22:17:26 INFO  Main:30 - Test number 10
2020-07-06 22:17:52 INFO  Main:31 - Bubble Sorting time in ns: 26470903400
2020-07-06 22:17:54 INFO  Main:32 - Selection Sorting time in ns: 2193314200
2020-07-06 22:17:54 INFO  Main:33 - Insertion Sorting time in ns: 92200
2020-07-06 22:17:54 INFO  Main:34 - Shuttle Sorting time in ns: 70800
2020-07-06 22:17:54 INFO  Main:35 - Shell Sorting time in ns: 993400
2020-07-06 22:17:54 INFO  Main:36 - Merge Sorting time in ns: 14746700
2020-07-06 22:17:54 INFO  Main:37 - Quick Sorting time in ns: 2664500
2020-07-06 22:17:55 INFO  Main:38 - Collection.sort() time in ns: 39782600

